Application,Status,Radar Segment,Impacted by Phoenix,Primary CGL,Original Environment (column to be deleted),Environment,Location,Function,Function Description,Category,AI Enabled,Platform Description,Retirement (This column to be deleted),Lifecycle,Trajectory,Action,Initial Action Timeline,Complete Action Timeline,Bridge Required ,New Platform,New Sub-Module/Application,Comments,Solution Details,Primary SI,Primary Architect,App Owner,Original Tab (for reference),"Found in ""Enterprise Application Inventory""","Found in ""Application Inventory SharePoint""?"
pDWH-F1,3. GTO Done,Manufacturing,"Delete, Y",Systems and Data Integration,"Corp, Fab1",Corp,Fab1,"Reporting, Analytics",Production Analytics,,,"Production Data Warehouse 
(require GG, GEM-D, Ab Initio licenses)",,Current,Invest ,N:1 - consolidation,2023,Q4'26,Yes,DataLake,, Integration with SAP S4 EAM,,,Andre Holfeld,James Zeim,"Manufacturing, Technology & IT",TRUE,TRUE
pDWH-F7,3. GTO Done,Manufacturing,Delete,Systems and Data Integration,"Corp, Fab7",Corp,Fab7,"Reporting, Analytics",Production Analytics,,,"Production Data Warehouse 
(require GG, GEM-D, Ab Initio licenses)",,Current,Invest ,N:1 - consolidation,2023,Q4'26,Yes,DataLake,,This is a DB not an application,,,Andre Holfeld,James Zeim,"Manufacturing, Technology & IT",TRUE,TRUE
pDWH-F8,3. GTO Done,Manufacturing,Delete,Systems and Data Integration,"Corp, Fab8",Corp,Fab8,"Reporting, Analytics",Production Analytics,Manufacturing,No,"Production Data Warehouse 
(require GG, GEM-D, Ab Initio licenses)",,Current,Invest ,N:1 - consolidation,2023,Q4'26,Yes,DataLake,,This is a DB not an application,,GF,Andre Holfeld,James Zeim,"Manufacturing, Technology & IT",TRUE,TRUE
SAPPHiRE Utils-F1,3. GTO Done,Manufacturing,No,Systems and Data Integration,"Corp, Fab1",Corp,Fab1,"Reporting, Analytics",Engineering analysis,,,Engineering Data Warehouse - Utilities,,EOL,Replace,1:N - replacement,,Q4'25,No,DataLake Redshift,,No Change,,,Andre Holfeld,James Zeim,"Manufacturing, Technology & IT",TRUE,TRUE
SAPPHiRE Utils-F8,3. GTO Done,Manufacturing,No,Systems and Data Integration,"Corp, Fab8",Corp,Fab8,"Reporting, Analytics",Engineering analysis,Manufacturing,No,Engineering Data Warehouse - Utilities,,EOL,Replace,1:N - replacement,,Q4'25,No,DataLake Redshift,,,,GF,Andre Holfeld,James Zeim,"Manufacturing, Technology & IT",TRUE,TRUE
Pre-GMIW-Giga and F7,2. WIP,,Delete,Systems and Data Integration,"Corp, Fab7, Giga",Corp,"Fab7, Giga",,,,,Engineering Data Warehouse,,,,,,,,,,,,,,"CHUAH, Jyy Ming","Manufacturing, Technology & IT",TRUE,TRUE
SAPPHiRE-F1,3. GTO Done,Manufacturing,No,Systems and Data Integration,"Corp, Fab1",Corp,Fab1,"Reporting, Analytics",Engineering analysis,,,Engineering Data Warehouse,,EOL,Replace,1:N - replacement,,Q4'25,No,DataLake Redshift,, Integration with SAP S4 EAM,,,Andre Holfeld,James Zeim,"Manufacturing, Technology & IT",TRUE,TRUE
SAPPHiRE-F8,3. GTO Done,Manufacturing,No,Systems and Data Integration,"Corp, Fab8",Corp,Fab8,"Reporting, Analytics",Engineering analysis,Manufacturing,No,Engineering Data Warehouse,,EOL,Replace,1:N - replacement,,Q4'25,No,DataLake Redshift,,,,GF,Andre Holfeld,James Zeim,"Manufacturing, Technology & IT",TRUE,TRUE
WIP Visibilty,3. GTO Done,Manufacturing,"Delete, N",Systems and Data Integration,"Corp, Fab1",Corp,"Fab1, Fab8, Fab 9",,,,,This app synchronizes MDM & SDM in the MDS / GEMD and SAPPHiRE from the ERP,R6,EOL,Retire,1:N - replacement,TBD,TBD,No,DataLake Redshift,,Obsoletion with SAP S4 / PDFS integration,,,Andre Holfeld ,James Zeim,"Manufacturing, Technology & IT",,
WIP Visibilty-F8,5. Duplicate App,Manufacturing,Delete,Systems and Data Integration,"Corp, Fab8",Corp,Fab8,,,,,This app synchronizes data in the MDS and SAPPHiRE from the ERP,,,,,,,,,,,,,,James Zeim,"Manufacturing, Technology & IT",TRUE,TRUE
XREF (?),5. Duplicate App,,N,SCM,GF FABs,,GF FABs,,,,,,,,,,,,,,,"PGoerigk: is this the Oracle O2C Item Master XREF ??? so table only not an app, part of Wip Visibility",,,,,"Enterprise, Manufacturing, Technology & IT",,
SYPF-F1,1. Not Started,,"Delete, N",Systems and Data Integration,"Corp, Fab1",Corp,Fab1,,,,,Integration system for all yeidl data and manufacturing to downsteam applications,,,,,,,,,, No Change,,,,Shenba,"Manufacturing, Technology & IT",TRUE,TRUE
SYPF-F8,1. Not Started,,Delete,Systems and Data Integration,"Corp, Fab8",Corp,Fab8,,,,,Integration system for all yeidl data and manufacturing to downsteam applications,,,,,,,,,,,,,,Shenba,"Manufacturing, Technology & IT",TRUE,TRUE
Equipment Performance analytics,3. GTO Done,Manufacturing,No,SCM,Corp,Corp,"Fab7, Giga","Reporting, Analytics",Used by IE,,,Equipment Performance analytics,,EOL,Retire,1:0 - retirement,,Q4'25,,,,"Ngai Fong: Used by IE: Dec-24 to Mar-25: No users using the App.
1.  Batch Factor, Lot Factor.
2. FAB planned indices report. IE input info; can input via IE CDB, so can shutdown.
3. SpyGlass: IE developing Global solution to replace SpyGlass. ",,GF,Jimmy Goh,"CHOONG, Ngai Fong","Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
LSES - Lot Scheduling Execution System,3. GTO Done,Manufacturing,Yes,M2O,Corp,Prod,FAB7,FAB,,Manufacturing,No,Lot Scheduling Execution System for actual lot starts and customer order soft tagging,R6,Nearing EOL,Replace,1:N - replacement,Q1'27,Q4'28,,SAP S4,M2O,Replace with S4 PP production order in the planning systems,,,Peter Goerigk,Jianjun Xiao,Enterprise,,
SCMCDB,1. Not Started,Enterprise,Y,Supply Chain,Corp,Corp,,,,,,SCM planning parameters(Global),,,,,,,,,,,,,,"Zumpe, Michael",Enterprise,,
SCM CDB,5. Duplicate App,Enterprise,N,SCM,GF1 FABs,,GF1 FABs,,,,,"Staging database for capacity statements, many other inputs to Kinaxis",,,,,,,,,,,,,,,"Enterprise, Manufacturing, Technology & IT",,
SCMCDB App,5. Duplicate App,,,Supply Chain,Corp,Corp,,,,,,SCM planning parameters(Global),,,,,,,,,,,,,Alex,"Zumpe, Michael","Manufacturing, Technology & IT",TRUE,TRUE
ASCP,1. Not Started,Enterprise,Y,SCM,Corp,Corp,,,,,,Advanced Supply Chain Planning (ASCP) to support MPP and ATP,,,,,,,,,,"Replace with SAP S4 MRP
in Wave1 implemeting MRP for FAB1 in release5 with SAP S4",,,,,Enterprise,,
ASCP App,5. Duplicate App,,Y,SCM,Corp,Corp,,,,,,Advanced Supply Chain Planning (ASCP) to support MPP and ATP,,,,,,,,,,"Replace with SAP S4 MRP
in Wave1 implemeting MRP for FAB1 in release5 with SAP S4",,,Alex,,"Manufacturing, Technology & IT",TRUE,TRUE
CWCM Capacity planning suite,1. Not Started,Enterprise,N,SCM,Corp,Corp,,,,,,Global Company Wide Capacity Model for Industrial Engineering capacity planning (CWCM),,,,N:1 - consolidation,,,,,,Integrate with SAP IBP to extract data for capacity modeling,,,,"CHOONG, Ngai Fong","Enterprise, Manufacturing, Technology & IT",,
"D-SIMLABS Dynamic Capacity Engine, Load-mix optimizer, Linear program optimizer",1. Not Started,Enterprise,,SCM,,Corp,,,,,,Global Simulation Engine used by Industrial Engineering for dynamic capacity and starts planning,,,,,,,,,,,,,,"Goddard, Nicholas",,,
LSES App,5. Duplicate App,Manufacturing,N,SCM,Corp,Corp,,,,,,Lot Scheduling Execution System for actual lot starts and customer order soft tagging,,,,,,,,,,Replace with production order in the planning systems,,,Alex,Mahesh,"Manufacturing, Technology & IT",TRUE,TRUE
Forecast WorkBench,1. Not Started,,N,SCM,Corp,Corp,,,,,,Receive forecast data through B2B channel,,,,N:1 - consolidation,,,,,,This is already Retired as of today. No plan to replace with new app/system.,,,,,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
FPTS,1. Not Started,,N,SCM,Corp,Corp,,,,,,Floor Plan Targets (FAB9 & FAB10),,,,,,,,,,No Plan to replace. No direct dpenandancy,,,,,Enterprise,,
FPTS App,5. Duplicate App,,N,SCM,Corp,Corp,,,,,,Floor Plan Targets (FAB9 & FAB10),,,,,,,,,,No Plan to replace. No direct dpenandancy,,,Alex,,"Manufacturing, Technology & IT",TRUE,TRUE
Kinaxis,3. GTO Done,Enterprise,Y,SCM,Corp,Corp,,Demand Planning,,ERP/MRP,No,Integrated Planning system (IPS) is a Demand and Supply Planning cloud service from Kinaxis,,,Replace,1:N - replacement,,,No,SAP IBP,,Replace with SAP IBP in Wave2,,,Alex,Michael Zumpe,Enterprise,,
Kinaxis App,5. Duplicate App,,Y,SCM,Corp,Corp,,,,,,Integrated Planning system (IPS) is a Demand and Supply Planning cloud service from Kinaxis,,,,,,,,IBP,,Replace with SAP IBP in Wave2,,,Alex,,"Manufacturing, Technology & IT",TRUE,TRUE
IndEng Database-F1,3. GTO Done,Manufacturing,Yes,"Reporting, IE Apps","Corp, Fab1",Prod,Fab1,Manufacturing,Write /Read database for APF,Manufacturing,No,IE Apps/Analytics,,Legacy,Assess,,,,,,,No Change. Potential replacement with MDS,,,Detlef Pabst,Irina Sudnik,"Manufacturing, Technology & IT",TRUE,TRUE
FICS/Fab 1 Reporting-F1,3. GTO Done,Manufacturing,No,Reporting,"Corp, Fab1",Prod,Fab1,Monitoring,Collection of Homegrown Monitoring Tools,Manufacturing,No,Fab1 CIM Apps admin Internal Systems Monitoring,,Nearing EOL,Assess,no change,,,,,,,,,Torsten Happ,,"Manufacturing, Technology & IT",TRUE,TRUE
MSBI SCM,1. Not Started,,N,SCM,Corp,Corp,,,,,,"Supply Chain Lineup, Topline and XREF",,,,,,,,,,Replace with SAP IBP. We might need a reporting platform.,,,,Michael Zumpe,Enterprise,,
MSBI SCM App,5. Duplicate App,,N,SCM,Corp,Corp,,,,,,"Supply Chain Lineup, Topline and XREF",,,,,,,,,,Replace with SAP IBP. We might need a reporting platform.,,,Alex,Michael Zumpe,"Manufacturing, Technology & IT",TRUE,TRUE
Planning Parameter,1. Not Started,Enterprise,N,SCM,GF1 FABs,,GF1 FABs,,,,,"Planning parameter for staging database for Kinaxis, BOM, many other parameters defined",,,,,,,,,,,,,,,"Enterprise, Manufacturing, Technology & IT",,
Profit Apps,1. Not Started,,N,SCM,GF2 FABs,,GF2 FABs,,,,,Linux based applications,,,,,,,,,,"Replace with many of the applications (PLM, BOMs supply netowrk, WIP with PDF solutions etc. )",,,,,"Enterprise, Manufacturing, Technology & IT",,
SAP Supplier Risk Management,1. Not Started,Enterprise,Y,SCM,Corp,Corp,,,,,,SAP Supplier Risk Management module,Introduced,,,,,,,,,,,,,,"Enterprise, Manufacturing, Technology & IT",,
TM1,3. GTO Done,Enterprise,N,SCM,Corp,Corp,,Demand Planning,,ERP/MRP,No,"Supply chain planning/demand planning, pricing and material forecasting.",Already Retired,EOL,Retire,1:0 - retirement,,,,,,"Already Retired, moved everything into Kinaxis.",,,,Michael Zumpe,Enterprise,,
TM1 App,5. Duplicate App,,N,SCM,Corp,Corp,,,,,,"Supply chain planning/demand planning, pricing and material forecasting.",,,,,,,,,,"Already Retired, moved everything into Kinaxis.",,,Alex,Michael Zumpe,"Manufacturing, Technology & IT",TRUE,TRUE
Oracle CEPD,1. Not Started,,Y,S2P,Corp,Corp,,,,,,Capital Equipment Project Documentation (CEPD) Management and Automation Capabilities Management (ACM),,,,N:1 - consolidation,,,,SAP Ariba,SAP Ariba,Only CEPD functions are moved from SharePoint to Oracle Apex in EBS. ACM is still managed Jack Downey from CIM team. Replace with SAP Ariba.,,Naveen Khana,Gopal,Naveen Khana,"Enterprise, Manufacturing, Technology & IT",,
Oracle iSupplier,3. GTO Done,Enterprise,Yes,S2P,Corp,Corp,,,Supplier self service portal for invoice submission / po acknowledgement,,,Supplier self-service portal for ERP,R4,EOL,Retire,N:1 - consolidation,,, No,SAP Ariba,SAP Business Network,This includes Supply Chain collobration from Invetory suppliers.,,Naveen Khana,Gopal,Naveen Khana,"Enterprise, Manufacturing, Technology & IT",,
SAP Ariba SLP,3. GTO Done,Enterprise,Y,S2P,Corp,Corp,,,,ERP/MRP,No,SAP Ariba sourcing and indirect procurement,Introduced,Current,Invest ,no change,,,,,,,,,Alex,,"Enterprise, Manufacturing, Technology & IT",,
SAP EWM,1. Not Started,Enterprise,Y,S2P,Corp,Corp,,,,,,,Introduced,,,,,,,,,,,,,,"Enterprise, Manufacturing, Technology & IT",,
SAP LE,1. Not Started,Enterprise,Y,S2P,Corp,Corp,,,,,,,Introduced,,,,,,,,,,,,,,"Enterprise, Manufacturing, Technology & IT",,
SAP MDG - Material,3. GTO Done,Enterprise,Y,S2P,Corp,Corp,,,,Data & Analytics,No,SAP MDG for Material,Introduced,Current,Invest ,0:1 - new system,Q1'26,, No,,,,,,Alex,,"Enterprise, Manufacturing, Technology & IT",,
SAP MDG- Supplier,3. GTO Done,Enterprise,Y,S2P,Corp,Corp,,,,Data & Analytics,No,SAP MDG for Suppliers,Introduced,Current,Invest ,0:1 - new system,,, No,,,,,,Alex,,"Enterprise, Manufacturing, Technology & IT",,
SAP MM,3. GTO Done,Enterprise,Y,S2P,Corp,Corp,,,,ERP/MRP,No,SAP Material Management used for Inventory Management,Introduced,Current,Invest ,0:1 - new system,,,Yes,,,,,,Alex,,"Enterprise, Manufacturing, Technology & IT",,
SAP MRP,1. Not Started,Enterprise,Y,S2P,Corp,Corp,,,,,,,Introduced,,,,,,,,,,,,,,"Enterprise, Manufacturing, Technology & IT",,
SAP PP,1. Not Started,Enterprise,Y,S2P,Corp,Corp,,,,,,,Introduced,,,,,,,,,,,,,,"Enterprise, Manufacturing, Technology & IT",,
BPMS ARIS,3. GTO Done,Manufacturing,No,Quality,Corp,Corp,,,,,,ARIS application package used for Business Process Modeling,,,Retire,1:0 - retirement,,,,Not applicable,,"Sumeet: ""ARIS was retired in 2021""",,,Jimmy Goh,Sumeet Sharma,Enterprise,,
CCE,3. GTO Done,Manufacturing,No,Quality,"Corp, Fab1, Fab8",Corp,"Fab1, Fab8, Fab7",FAB,,Manufacturing,No,Outgoing Quality Certification Engine,,Current,Hold,no change,,,,,,,,"GF, Systema",Peter Goerigk,"Nico Noack (DL), Arwed Reichel, Frank Haase, Torsten Happ","Manufacturing, Technology & IT",TRUE,TRUE
QlikView-F1,5. Duplicate App,Technology & IT,"Delete, N",Reporting,"Corp, Fab1",Corp,Fab1,,,,,Reporting / BI,,,,,,,,,,,,,,Hendrik Holz,"Manufacturing, Technology & IT",TRUE,TRUE
QlikView-F7,5. Duplicate App,Technology & IT,Delete,Reporting,"Corp, Fab7",Corp,Fab7,,,,,Reporting / BI / APF-EDX-QV Scheduler,,,,,,,,,,,,,,Walter Lee,"Manufacturing, Technology & IT",TRUE,TRUE
QlikView-F8,5. Duplicate App,Technology & IT,Delete,Reporting,"Corp, Fab8",Corp,Fab8,,,,,Reporting / BI,,,,,,,,,,,,,,"Hayes, Christopher","Manufacturing, Technology & IT",TRUE,TRUE
QlikView-Giga,5. Duplicate App,Technology & IT,Delete,Reporting,"Corp, Giga",Corp,Giga,,,,,Reporting / BI,,,,,,,,,,,,,,Hendrik Holz<br>Kah Hing TING,"Manufacturing, Technology & IT",TRUE,TRUE
APPZEN,1. Not Started,Enterprise,N,"R2R, Equipment Management",Corp,Corp,,,,,,"Travel and Expense Audit, linked with Concur",NA,,,,,,,,,,,,,,"Enterprise, Manufacturing, Technology & IT",,
Automation Anywhere,3. GTO Done,Technology & IT,N,"R2R, AIS","Corp, Fab7, Giga",Corp,"Fab7, Giga",,,,,Robotic Process Automation Software to Automate the repetitive manual tasks,NA,Current,Hold,no change,,, No,,,"May have to explore automation options within S/4, for certain manual tasks",,,Gopal,"Harikrishna, Dhandapani","Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
AACG App,3. GTO Done,Enterprise,Yes,R2R,Corp,Corp,,Access & Authentication,Validates role based access,ERP/MRP,No,Oracle ERP Application Access Controls Governor,Wave 2,EOL,Retire,N:1 - consolidation,Q1'27,Q4'27,No,S/4 and Ariba,SAP GRC,Need to confirm CG,, Adi Challa,Gopal,Adi Challa,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
